client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment	grouped_accents
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_38406828.wav	b0ac27791c2b2ec5eb3e21e7413894bc8e8f5df0904eb4fe0f427c2c08c10e10	Demà passat na Greta i en Gerard van a Gurb.		3	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_3836352.wav	ac4416e082a5a342b38032535e84b4829d16dc8987c96b646d1ee43b26855333	Els informes, entrevistes, titulars, piulets i columnes crítiques amb el govern.		6	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_38943678.wav	c799a0f2f83803f69e66b38410170b66812f66b67dde0c03dfd8b00f0a04d6f4	Penjar un llum en un clau.		3	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_39907748.wav	d5b8f5a8c41f23a62692b224666a1fa97a642464880c897897a7fc51462330dc	El document recull també els principals problemes de l’economia catalana.		3	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
eaf0b12e9f0ff8ba96e7cf300153d0ad3a43653417760ad84686e55d35d1f1c7b3cc89efdced65cadd7e777d68ce11166a0e758c9e40d8d3dce922d8cc6e6c34	./experiments/central20_53m_v01/cwattacks/adversarial_31314438.wav	0679c54d3238532ff4793463d398dde1bdd386259af987b6cc1320a8ee2f3b64	No obstant, Charlotte era quasi sempre molt feliç en el seu matrimoni.		6	0			Ebrenc		ca		valencià
d9770fe2b1596832e93ff1c30eff6da2b414d79896be232ac0faa4da55cea015af6bb785aad54f3216662a1978c577919b907143fdee82130a604a256fde07a2	./experiments/central20_53m_v01/cwattacks/adversarial_38686058.wav	86bc500c6f5d7b04117934d2d58f8ea98f544405e7783212e007b8a7a415b6ef	La cerimònia va ser ben curta.		2	0			valencià	Valencià meridional	ca		valencià
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_38486260.wav	b2a0b2f4f45d366725de416fdf3c4b176c35657f18ded7afa0846a184d397cee	També va ser el primer descans màxim de O'Sullivan a la competició professional.		3	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
d9770fe2b1596832e93ff1c30eff6da2b414d79896be232ac0faa4da55cea015af6bb785aad54f3216662a1978c577919b907143fdee82130a604a256fde07a2	./experiments/central20_53m_v01/cwattacks/adversarial_38828620.wav	c4794f65656f0a6f99d476defd3212474358911ef76fe8a87f06d180d67c4091	A Almudaina, les cireres.		4	0	fifties	male_masculine	valencià	Valencià meridional	ca		valencià
892bf89bd3a008a7d982de0d278349e654c713efacf965e88e46a12398375cd8502711378e378c39c33b2f995f47799760c6e6e05948b93c0d2b9fd427854ffc	./experiments/central20_53m_v01/cwattacks/adversarial_3838252.wav	ae7f01aaa5be5d7b27ccae0c732ab44913bf680bcd00c5d85b9e81961348d994	Es tracta d'un edifici cantoner de grans dimensions, consta de planta baixa i dos pisos.		6	0	fourties	male_masculine	valencià,La Vall d'Albaida		ca		valencià
34932f513b879d6463714ca31b753cc65a39687deb2626868a8047091359af8ab9dd05bb1396707eb95d7ee9bd04373403758ebc5671906ebd3eb61d5126a38d	./experiments/central20_53m_v01/cwattacks/adversarial_18292922.wav	7a61e7f6e0aa2d2caa410e8add13f6cc6a0ee29d28220f7b719b217b9664170e	Venim d'Anglès.		3	0	twenties	male_masculine	valencià		ca		valencià
